ms,ax,ay,az,gx,gy,gz
978398,-0.9209,0.1019,-1.0826,-35.7666,56.0913,175.5371
978406,-0.9376,0.0348,-1.1272,-8.3008,32.2876,156.9214
978414,-0.8387,0.0017,-1.2544,6.2256,5.7373,141.8457
978422,-0.7427,0.0565,-1.3782,18.9819,-12.5732,141.5405
978431,-0.7466,0.1346,-1.4519,37.8418,-15.4419,144.3481
978439,-0.8462,0.2146,-1.4930,56.7017,-10.6812,139.9536
978447,-0.8854,0.2816,-1.5068,67.9932,-5.7983,125.2441
978455,-0.8556,0.3546,-1.5015,75.0122,-3.9673,104.3091
978464,-0.8484,0.4253,-1.4629,76.9653,-8.1787,83.8013
978472,-0.8234,0.4674,-1.3975,76.5991,-18.1274,66.3452
978480,-0.7673,0.4922,-1.2939,84.3506,-28.3813,52.8564
978488,-0.7072,0.5034,-1.1998,82.0923,-40.2222,42.6636
978497,-0.6459,0.4971,-1.0961,79.6509,-49.0112,33.6914
978505,-0.6031,0.4893,-0.9994,77.9419,-52.9175,25.6958
978513,-0.5500,0.4786,-0.9338,70.9229,-53.6499,19.4092
978522,-0.5284,0.4675,-0.8776,70.1294,-49.6826,14.0381
978529,-0.5372,0.4535,-0.8346,68.0542,-45.2271,8.9111
978538,-0.5156,0.4489,-0.8013,64.5752,-41.9922,4.7607
978546,-0.4957,0.4443,-0.7817,61.8286,-38.9404,1.7700
978554,-0.4741,0.4421,-0.7610,59.3262,-35.2783,-0.7935
978563,-0.4728,0.4376,-0.7484,55.6030,-31.4941,-2.4414
978571,-0.4771,0.4312,-0.7485,53.2227,-27.4048,-3.7231
978580,-0.4705,0.4194,-0.7568,51.5137,-24.2920,-5.4321
978587,-0.4725,0.4034,-0.7556,49.4385,-22.1558,-8.6670
978596,-0.4600,0.3986,-0.7405,48.6450,-20.9961,-11.6577
978604,-0.4419,0.4042,-0.7314,48.2788,-20.7520,-13.5498
978613,-0.4276,0.4015,-0.7201,46.9360,-21.3013,-14.7705
978620,-0.3988,0.3988,-0.7083,45.0439,-20.9961,-15.2588
978629,-0.3715,0.3987,-0.6946,43.5181,-19.7754,-15.9912
978637,-0.3679,0.4027,-0.6888,42.4805,-18.6157,-16.1133
978646,-0.3635,0.3979,-0.6764,41.6260,-18.3716,-16.1133
978653,-0.3401,0.4004,-0.6698,41.5039,-17.7612,-16.0522
978662,-0.3347,0.4075,-0.6586,41.8701,-15.8691,-15.4419
978670,-0.3409,0.4094,-0.6637,41.1377,-13.7939,-14.0991
978679,-0.3368,0.4061,-0.6614,40.5884,-11.3525,-13.3057
978686,-0.3468,0.4033,-0.6615,39.7949,-10.1929,-13.1226
978695,-0.3434,0.4044,-0.6578,39.1846,-9.5215,-13.5498
978703,-0.3407,0.4161,-0.6692,38.1470,-9.8267,-14.6484
978712,-0.3365,0.4188,-0.6740,34.4849,-11.5967,-15.3198
978719,-0.3104,0.4253,-0.6748,32.6538,-11.4746,-15.9302
978728,-0.2896,0.4410,-0.6738,28.9307,-11.0474,-15.9912
978736,-0.2845,0.4490,-0.6860,23.4375,-9.7656,-16.2964
978745,-0.2679,0.4476,-0.6733,19.1650,-8.1177,-16.7236
978752,-0.2467,0.4510,-0.6552,15.5029,-5.6763,-16.1743
978761,-0.2467,0.4564,-0.6481,12.6343,-2.3193,-16.0522
978770,-0.2554,0.4750,-0.6553,11.2915,0.5493,-15.8081
978777,-0.2717,0.4673,-0.6663,7.8125,1.4038,-15.2588
978786,-0.2716,0.4691,-0.6615,8.0566,2.2583,-15.1978
978794,-0.2693,0.4783,-0.6692,7.8735,2.6245,-14.6484
978803,-0.2458,0.4889,-0.6820,6.5308,2.8687,-14.8315
978810,-0.2277,0.4923,-0.6858,5.1270,3.6621,-15.0757
978819,-0.2319,0.4988,-0.6946,5.2490,3.8452,-14.8315
978827,-0.2249,0.5028,-0.7001,2.7466,2.6855,-13.9771
978835,-0.2070,0.5077,-0.6992,-0.1221,1.6479,-13.1226
978844,-0.2074,0.5127,-0.7058,-2.0142,1.5259,-12.7563
978852,-0.2157,0.5122,-0.7134,-4.0283,1.5869,-12.0850
978861,-0.2218,0.5070,-0.7101,-5.9814,1.5259,-11.1694
978868,-0.2251,0.5072,-0.7037,-7.7515,1.9531,-10.0708
